Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
-170.003,66.534,2,2.83,32.91,,,2345.0,310.63,7.80,467.00,1.35,2.98,,2232.00,2373.75,18.43,275.98,20.611
-170.003,66.534,4,2.84,32.91,,,2345.0,308.70,7.80,465.00,1.35,,,2231.00,2372.68,20.28,275.99,20.522
-170.003,66.534,10,2.78,32.91,,,2345.0,306.83,7.80,466.00,1.35,,,2232.00,2373.75,22.63,275.93,20.570
-170.003,66.534,14,2.77,32.92,,,2345.0,304.55,7.79,468.00,1.34,,,2233.00,2374.09,24.97,275.92,20.659
-170.003,66.534,25,2.76,32.92,,,2345.0,305.28,7.80,465.00,1.34,,,2232.00,2373.03,24.32,275.91,20.528
-170.003,66.534,49,2.76,32.93,,,2345.0,304.90,7.80,459.00,1.35,1.53,,2230.00,2370.18,24.68,275.91,20.263
189.98,66.55,0,6.30,29.75,,,,313.70,8.28,266.34,1.81,1.08,,1768.76,2080.90,-3.74,279.45,11.609
189.98,66.55,15,0.81,32.46,,,,305.30,8.09,403.33,1.18,,,1920.10,2070.35,42.16,273.96,17.932
189.98,66.55,30,0.89,32.50,,,,286.50,8.00,507.95,0.99,,,1968.78,2120.22,60.14,274.04,22.577
189.98,66.55,49,0.90,32.53,,,,284.80,8.00,520.55,1.02,1.01,,2017.46,2170.65,61.67,274.05,23.136
190.509,66.751,2,6.95,31.46,,,2293.0,342.42,8.16,212.00,2.73,1.94,,2030.00,2258.42,-40.92,280.10,9.219
190.509,66.751,5,6.94,31.46,,,2293.0,339.73,8.16,210.00,2.74,,,2029.00,2257.31,-38.16,280.09,9.132
190.509,66.751,9,6.44,31.58,,,2292.0,347.55,8.16,206.00,2.73,,,2028.00,2247.63,-42.75,279.59,8.974
190.509,66.751,14,4.69,31.89,,,2290.0,332.84,8.05,254.00,2.21,,,2078.00,2280.65,-15.93,277.84,11.135
190.509,66.751,25,3.28,32.72,,,2338.0,340.00,8.03,257.00,2.16,,,2130.00,2278.42,-14.10,276.43,11.324
190.509,66.751,43,2.23,32.75,,,2336.0,279.63,7.78,478.00,1.27,1.39,,2232.00,2385.34,54.79,275.38,21.142
188.816,66.969,2,8.27,29.60,,,2125.0,305.05,8.08,260.00,2.12,0.89,,1923.00,2273.82,-8.47,281.42,11.253
188.816,66.969,5,8.27,29.60,,,2125.0,304.37,8.08,260.00,2.12,,,1923.00,2273.82,-7.79,281.42,11.253
188.816,66.969,11,8.27,29.61,,,2125.0,303.24,8.08,261.00,2.12,,,1923.00,2273.05,-6.68,281.42,11.296
188.816,66.969,15,7.78,30.19,,,2163.0,304.55,8.07,265.00,2.14,,,1959.00,2271.12,-5.95,280.93,11.490
188.816,66.969,25,2.64,32.90,,,2336.0,231.65,7.59,801.00,0.83,,,2295.00,2441.49,98.99,275.79,35.376
188.816,66.969,38,2.46,32.96,,,2337.0,217.26,7.52,942.00,0.72,4.40,,2316.00,2459.34,114.71,275.61,41.631
190.508,67.17,2,5.20,31.92,,,2294.0,371.15,8.17,188.00,2.79,2.04,,2021.00,2216.01,-58.14,278.35,8.227
190.508,67.17,4,5.14,31.95,,,2294.0,372.63,8.17,187.00,2.79,,,2021.00,2213.93,-59.24,278.29,8.185
190.508,67.17,9,4.94,32.01,,,2294.0,382.37,8.17,187.00,2.78,,,2022.00,2210.87,-67.63,278.09,8.191
190.508,67.17,14,4.03,32.07,,,2304.0,373.16,8.11,212.00,2.47,,,2063.00,2251.48,-51.60,277.18,9.316
190.508,67.17,25,3.12,32.31,,,2316.0,364.22,8.01,269.00,2.03,,,2121.00,2297.59,-36.02,276.27,11.860
190.508,67.17,45,2.14,32.58,,,2325.0,289.93,7.79,460.00,1.28,0.27,,2218.00,2382.75,45.68,275.29,20.353
186.101,67.284,2.981,3.79,30.34,1.05,0.74,2083.5,293.03,8.15,278.86,1.66,6.98,,1932.55,2229.45,34.68,276.94,12.265
186.101,67.284,6.582,3.79,30.35,1.10,0.66,2085.0,292.27,8.15,280.62,1.65,,,1934.77,2231.30,35.37,276.94,12.342
186.101,67.284,10.205,3.85,30.38,1.15,0.72,2085.0,288.00,8.15,280.01,1.66,,,1933.99,2228.29,39.14,277.00,12.313
186.101,67.284,15.335,4.13,30.46,1.20,0.74,2095.7,285.60,8.14,284.54,1.67,,,1943.62,2233.16,39.12,277.28,12.499
186.101,67.284,19.733,4.69,30.97,1.06,0.87,2125.9,273.80,8.15,281.19,1.78,,,1962.85,2218.57,45.34,277.84,12.327
186.101,67.284,24.117,4.66,31.09,1.04,0.85,2132.6,273.44,8.15,280.09,1.79,9.80,,1967.96,2215.34,45.63,277.81,12.280
186.092,67.369,2,6.06,28.17,,,2035.0,325.83,8.05,253.00,1.81,0.45,,1864.00,2315.94,-10.46,279.21,11.037
186.092,67.369,6,6.06,28.17,,,2035.0,325.61,8.05,253.00,1.81,,,1864.00,2315.94,-10.24,279.21,11.037
186.092,67.369,10,6.05,28.18,,,2035.0,326.02,8.05,253.00,1.81,,,1863.00,2313.88,-10.60,279.20,11.037
186.092,67.369,14,6.03,28.24,,,2040.0,324.53,8.05,253.00,1.82,,,1867.00,2313.92,-9.10,279.18,11.038
186.092,67.369,23,5.03,31.26,,,2233.0,296.74,7.95,333.00,1.73,1.19,,2073.00,2321.02,19.09,278.18,14.581
187.511,67.418,2,6.81,29.55,,,2128.0,316.97,8.11,229.00,2.20,0.87,,1916.00,2269.37,-10.22,279.96,9.963
187.511,67.418,5,6.81,29.55,,,2128.0,315.77,8.09,239.00,2.14,,,1923.00,2277.66,-9.02,279.96,10.398
187.511,67.418,11,6.77,29.87,,,2137.0,316.16,8.09,239.00,2.16,,,1930.00,2261.47,-9.85,279.92,10.400
